non pos 식당,kitchen485,감성카츠,감성타코(홍대점),광야,까사라티나,덩크트레이,돈카츠준,드렁큰비건,루나씨엘로,마루돈까스,멕시코다이너,명동왕돈까스직영점,몰토베네합정,묘한식탁,바삭마차(망원시장점),벨라또띠아,붉은낙타,브라운돈까스상암MBC몰,블루쿠치나,비볼리,비스트로에버,빌리더다이닝,빠네돌체,소나무연남,소코아,수엠부,스푼필라프홍대점,스프링비스트로,슬로우야드바비큐,아르고보니,앨리스바이미니멜츠,에트나퓨,엘리스리틀이태리,연남동와이탑,엽전식당연남점,오이도,요나끼,우애돈카츠연남점,이오카츠공덕점,이응이응이응이응,인더썬,쥬벤쿠바연남점,지알로파스타바,진돈,치킨앤카레군,코코가츠,크레이지카츠,테이커테이블,토모토카레,토파,포트앤나달,헤키,흑심
미장플라쎄,0.5686192607818128,0.460436476750389,0.538469615663286,0.5795947997383271,0.12539958869692472,0.5128536408905666,0.4183047134371305,0.4894214236263956,0.5631620453408713,0.45116028268897357,0.5342436814094631,0.4411507356821774,0.595305984645729,0.5765738433746501,0.36077239513935144,0.5261070832651429,0.4615463972898459,0.4976867313772486,0.6091455074825605,0.5970771800913608,0.5445669996041527,0.6136431399529486,0.6651207912692687,0.2836024390331806,0.46844344892408896,0.4191400059441254,0.5175006109438289,0.5671577092737109,0.5700686077372372,0.4457996370314289,0.5034906839951491,0.5663692891251229,0.5686096661948282,0.6494670880492852,0.43334524393954166,0.5084434865813519,0.4725331218659439,0.40857883036201725,0.48100778048810505,0.5219030254991264,0.4770304700489516,0.5643031282240261,0.5998508054371743,0.44665755034341936,0.4994415133440914,0.4598079092932924,0.4310564007368051,0.5864135847288295,0.5028145927024743,0.5486837997757161,0.5242350264677929,0.2862341043181378,0.4338805814942378
이관우파스타,0.524183066866134,0.3971931586182789,0.4834935417885503,0.5888132793475399,0.11013486518405133,0.48505753166859045,0.3814492459001453,0.48312036387641044,0.5217587969628662,0.38492585961215575,0.45349479766300504,0.39773463081738636,0.5953849260907874,0.6283003318743088,0.38810405320515295,0.46424551004011794,0.4334956415119766,0.4220953743174145,0.6149668981290315,0.5456681148728617,0.46817510508205373,0.5514943148243514,0.5417482534160736,0.2725158301463172,0.41084313863563404,0.37763951063270873,0.4434189396175613,0.4803220351640154,0.49080431077755304,0.508268938517906,0.48694246087757803,0.54519208630576,0.4993144353348379,0.5370755976701371,0.4147460535036536,0.45338991769395526,0.43344416329806135,0.3777697091376042,0.4134727776413326,0.48055827183643707,0.5008489730833552,0.5339877253430648,0.6731699347876,0.4151638305416388,0.44805458578757046,0.41359625956360424,0.3904071205283119,0.5055873588026426,0.4272602182711542,0.5048912123060115,0.5018078575164422,0.2834605077469254,0.3793337593209958
디트로이트피지스,0.6048799919306107,0.4533063422973781,0.5630333903905008,0.49836517484313625,0.10076598623245449,0.5876746137854101,0.4272679446234383,0.4810392925549416,0.547010276506807,0.45152439331582794,0.5635508675055794,0.4617963155574457,0.6529783237127611,0.49115139840290684,0.38870824561724726,0.4963260448826907,0.44343214912958306,0.4660340199207844,0.4681613873340553,0.6288338368525003,0.6332686013556028,0.5083320680003829,0.6729282513793369,0.28504959649396777,0.46359159464678557,0.4492886932209886,0.5297358433703306,0.5034217597623718,0.5503476951529648,0.43971356185911536,0.49521549071855236,0.6245589891834721,0.6733401371915989,0.5645376567947217,0.4025126620954015,0.7286295995358465,0.408510411781284,0.42673802182867737,0.4756280752302972,0.5414631041477388,0.46505885381075956,0.5475122992658006,0.5306616838048388,0.4551896151265046,0.49706861589950646,0.44017287728852716,0.4447103809785911,0.5175970536340884,0.47471833397950014,0.49800811944318435,0.4653315121896242,0.2923250468612459,0.43664654479724974
피크닉마나올라나,0.46470001182633236,0.4133990612535706,0.4781425338953873,0.41193119738423956,0.1105102784495488,0.46892625125069176,0.38692793851458374,0.4110238853606991,0.4291722502408269,0.415984901221146,0.4968780618457693,0.4085467469442612,0.4831024200968879,0.4459304821262255,0.41615352831289265,0.43667641512362,0.3948490487394569,0.4301856690031054,0.44898999561033803,0.4485370222775259,0.45619779181528686,0.4982790293819465,0.46607855848844787,0.3014583514784571,0.4083765825417719,0.36816055404161463,0.4426036441613376,0.48075724472614867,0.5971463224023926,0.36536921278410284,0.5306053412251803,0.4656418735569952,0.4935574369739859,0.48016651780575653,0.37215997347365426,0.4580543378101054,0.3728757567464322,0.40112641880194483,0.4064731986540521,0.4899437411342171,0.3746530207462508,0.5354560137441154,0.49454833823213706,0.4055060585834523,0.44010034907928136,0.40130576135917995,0.40916158330754926,0.49026787046384745,0.44625945026482344,0.4117290412794502,0.40896465132084536,0.2963239153815903,0.4052110488039603
키노키친,0.6097185562577442,0.4981143634394768,0.724494535342504,0.5949410729911306,0.1341086749013386,0.5401328011023986,0.45763760429360323,0.5237614317476589,0.631570416373428,0.48673906522961385,0.5406693973352678,0.46849851572625134,0.8144793033221999,0.5496632493807025,0.3799037953497517,0.5389731721894501,0.4882282489318285,0.5095663051561766,0.5513161631060701,0.5877726547815344,0.6206911729102009,0.7425341650006746,0.5761864589880927,0.32001424772002063,0.5035769552638482,0.4461325218627583,0.5961059753631001,0.7401013861418876,0.5363728167323124,0.44267879514421393,0.5970492397430702,0.756611343297074,0.7424643924228064,0.686793362575243,0.49383591764136314,0.5239797904626262,0.5300277492790416,0.4614980640299876,0.5121421299846365,0.646857688445118,0.5198565245205433,0.7509174466424714,0.7971441670618831,0.5183047154753568,0.5532823628792398,0.5025801096885822,0.46844831414541926,0.7419126698309835,0.5351451910697049,0.5797260341621733,0.5452491350909163,0.30557245051254744,0.4380769399055469
탑클라우드23,0.6014150945525686,0.48981462412080323,0.7231613250331934,0.5162851736004588,0.14554075311530235,0.5092033118258102,0.46069082422618873,0.5050007041577842,0.595638885306108,0.48165024802561285,0.5377254797313658,0.4615373608385266,0.7836119788667504,0.5063592311088746,0.394912941619223,0.5539445158721402,0.47712099625799387,0.5313511842197215,0.5329146709777932,0.6217595845999482,0.5944082035160609,0.8167846916402661,0.5410254629659395,0.30955963858458196,0.49649976274372687,0.43911681786673873,0.5369006481700129,0.7929682839953214,0.5399057135677449,0.3919322849216479,0.5233828087596335,0.7496823117949925,0.8543209036733102,0.649617607791557,0.45912644102007016,0.5098129316200856,0.49670866887401793,0.46354145869349905,0.499857048956464,0.6395820535517289,0.55234351047821,0.7495834257814885,0.8140721974202195,0.4902521456567078,0.5171568734267269,0.4918584254002384,0.47205166335397564,0.7582979615244342,0.5429727674472907,0.6134034272560798,0.5758066292689953,0.3041305949807277,0.43684776570144546
브런치가,0.5150209456800896,0.45604633666090894,0.5738011420673673,0.4936739394535831,0.13014058069789863,0.4870310749802047,0.39856176849898506,0.43264550012712144,0.49329015714508734,0.446243711102869,0.5456565472666421,0.44712252599908325,0.5689370947248755,0.46358150127437847,0.36602245251913834,0.4767203915127015,0.44273358996955203,0.45541651786567416,0.5039382862552981,0.5121482161121615,0.5394316300935782,0.5592143669705392,0.5956454918952889,0.22463564069830455,0.4614974980718198,0.39031802014621286,0.49482409766907665,0.5959840226853219,0.48966050654128335,0.40705451293828376,0.4840507272844772,0.5491969088853541,0.5744275125272608,0.59504665968644,0.37684690208048166,0.5136136077009918,0.4105264427623561,0.4027858787375189,0.4397997809870644,0.5052321195850538,0.4564527475901686,0.5662472062199717,0.5789217632989524,0.4251964795100213,0.44694773345848016,0.43452378019656646,0.4421154109715445,0.5735620969644654,0.483056207986932,0.49968963284796236,0.47959273229171206,0.28591613190348525,0.4121998037230614
최고당돈까스(상암점),0.32343351105838314,0.5521806906841255,0.3223793133266114,0.33597881092338244,0.06594212757332098,0.3652190966937837,0.6137194842540198,0.3752188451010854,0.38303872209299683,0.5554544898365404,0.33734826644863336,0.40529771176601626,0.33882801813005736,0.3461218828770575,0.36809200108076784,0.3845608673428536,0.42764162335092737,0.5329913160303296,0.3404024366620229,0.3389027024136871,0.3275711562333179,0.32085547297274586,0.3129138970690516,0.4078749349732286,0.5574629790476774,0.36187140795009093,0.34058524484602526,0.3555776529411625,0.3283812434043786,0.3169496365779837,0.3240803624684715,0.3241672752551325,0.32524649842938747,0.33174887040720347,0.351217657958366,0.3473628247541724,0.46783858633515046,0.4807129274903338,0.4715797543716196,0.3197054032667245,0.3217377705939194,0.33184171263533513,0.3355031853108397,0.49215659387060107,0.36085105160882247,0.5415413139396992,0.5754011891019276,0.33870695923209654,0.39157140944519575,0.2984188309113573,0.3401145566082463,0.32353558160656604,0.4322519082760999
501파스타,0.6176300954998077,0.5223522131851613,0.5107152349564125,0.5562978240279085,0.12655521027126088,0.5486967369168154,0.4886165186764043,0.5207558312403568,0.5630426900042719,0.5557282628302873,0.552319787890494,0.5367654249609473,0.6308444195724242,0.537732925281331,0.4432058677202297,0.5186305556766091,0.4924340347150503,0.5800218756840845,0.4988882256104918,0.6504047170572875,0.6572379311774088,0.5463441781556151,0.6486930770468292,0.3430131068118111,0.6014142022261844,0.4195944527187855,0.5965652545607367,0.5151651088929725,0.5285684966783057,0.4535413994487787,0.5183023281708203,0.6221068739878877,0.6107729262158571,0.5948337783030444,0.4986830001555524,0.6868464356702458,0.5196437810387555,0.483920343762775,0.5852844434388513,0.5726225846638263,0.45614723707108673,0.55374245116503,0.5083319192116047,0.5435227675096501,0.537635874972286,0.5970548080432024,0.5849978718507054,0.5351182897967893,0.5978633457411474,0.44210190189884346,0.46551842128632276,0.27298317411234724,0.5952380339899634
애프터모닝,0.46301895426505213,0.4061000808818692,0.4598415607418953,0.5293163486727718,0.09497223882102526,0.4686105917860588,0.3889254711723806,0.4011861130813188,0.49253057133186373,0.39319547060698684,0.47430284831778446,0.39324091566472597,0.4850535630727471,0.42722560747460425,0.3331140425736602,0.4400898095596449,0.3906623965636298,0.43684314533560775,0.4706394999298294,0.46438579423260873,0.4589186403730396,0.4932132041979348,0.4556436431939903,0.2417067882117731,0.4203403898772151,0.39740236285110797,0.4589710581229069,0.5150953896110334,0.46226006546998666,0.3892105842195158,0.4592756431052885,0.4911972657060886,0.5122301159036082,0.4863839525156628,0.3553228563049232,0.4639050171069733,0.3642987125710915,0.3909719263994421,0.4034401684819509,0.5201774450651739,0.4433451142382595,0.47776310915907066,0.4984625545787215,0.380529722936762,0.43072278948677895,0.38334064638291293,0.3978273184501244,0.5098924799771087,0.43762247993535436,0.5157483301972563,0.48528381188806496,0.3177274071086805,0.3861929053215005
온샐러드&포케마포구청역점,0.4663982472520255,0.42257481136466735,0.5330270048417313,0.40648635424385504,0.10541539427667035,0.454965953122736,0.41120741651497994,0.42262417069101677,0.443728682589135,0.4292154470114825,0.49756057648713997,0.3995184212969764,0.526689105606206,0.4405678453741626,0.3792101243621728,0.4343946227498492,0.418558911282749,0.4292216650395764,0.41982973699296355,0.4544399211009522,0.5066296584188377,0.5239040936478152,0.4804214959362805,0.2876932599793268,0.43452449772203666,0.3770555985263384,0.4694978587553752,0.5517740022622124,0.5225337975364815,0.33715425597055915,0.48403120956335144,0.5086177956903289,0.5355368347301134,0.49607175195959907,0.387333108122831,0.47594422652920065,0.41913681087730287,0.41660925477916433,0.42006889711312334,0.5222152876319088,0.37530454717169903,0.5604129513076018,0.5484229982993395,0.4259074268608287,0.43298756048361603,0.4183836824540642,0.42961718685318007,0.5345901562800408,0.44718132403475674,0.4196678831548209,0.41726954192635435,0.33278087240370835,0.396600896790966
비닐하우스공덕점,0.2940913374523054,0.2602423640983934,0.2622150955456738,0.29186385489813493,0.030438724030035693,0.268134323688177,0.2360249450733889,0.3081630679746781,0.29041636211554356,0.25362601592633843,0.26913383695270415,0.2362574356869669,0.28706365038728443,0.31941179905882333,0.4121815125977828,0.28778877255823854,0.3044805431438532,0.2510491470014312,0.3684527616413379,0.2681152226862267,0.27485249414951374,0.29388633962545435,0.31284903507283085,0.25812650837308393,0.2421580783203024,0.25050001248947074,0.26943414216906664,0.3112955459968836,0.2639776560496177,0.3233210960260566,0.3230319594641964,0.2731703287093115,0.25419821727311204,0.3130917631661506,0.25498002352450133,0.25356673707362276,0.27758202610059296,0.21532901887660236,0.2481072454021633,0.30241153741238563,0.3972725414017541,0.29288204651469474,0.32595699615469587,0.258200990055405,0.2629058502589693,0.23927788496528143,0.24795395939477166,0.26995811659367924,0.25299767002229356,0.33704971148076435,0.394207762996051,0.22409989310730982,0.2535887102712956
까르보네(마포성산점),0.4348668207137004,0.403167352854139,0.41162569097248386,0.6145568488495169,0.1178590879676733,0.4628601754223609,0.3802897645155321,0.41601637959112536,0.39125785017491926,0.41827272753114697,0.4230838584507257,0.4422713204686277,0.43928274177087573,0.4300865215052595,0.357426701845595,0.3733993588728546,0.4061860710238111,0.38304388283861657,0.4314235761228723,0.42573933703357214,0.5269186936995908,0.41494026867958744,0.43497615713858906,0.2500173641538166,0.3986062560700076,0.39615083955457153,0.4130647754027523,0.398152920447019,0.40894702378827946,0.48299612906679773,0.4587446500968763,0.4231993004781146,0.433178668062414,0.4581472617654898,0.33529951394953983,0.4673216281593645,0.3749000903672172,0.3790702902704427,0.3742607404651851,0.43425514847745306,0.512872049335332,0.42803754345971795,0.4229074806207392,0.4000039929750858,0.3971910608617183,0.3768686119759047,0.3566840144177364,0.4347577312547017,0.3863465034268126,0.4631838373367997,0.4834757073394863,0.31552235853186716,0.3771437777047789
그리너(연남점),0.40588543009730604,0.39128581734985146,0.4870207340634486,0.3802023647522834,0.10033762527086773,0.4343952230193121,0.39231096915675495,0.44679826392674493,0.4210198641593768,0.3886660610459223,0.4594678283245117,0.4155060631320989,0.4895776990298015,0.43696336510193023,0.3641168952473577,0.39377257792558834,0.3846980529052122,0.40644087414592356,0.4013136061959942,0.41543102098505136,0.42111675436216084,0.4449171116539292,0.4338602934271496,0.27739331465704425,0.4146868162978422,0.3852849416076102,0.38131354542492313,0.4919424575493263,0.43023731992713254,0.3044669283181515,0.46136351057293934,0.4805240100332842,0.4933104719809249,0.4458045563474484,0.36342627063277355,0.4551871512324255,0.3846495074656562,0.41317704497030994,0.4091385471622794,0.4679216026042637,0.3569971696106056,0.466793805811263,0.5317279963799124,0.4112435608075399,0.4174509739582375,0.41530837593833203,0.41599767978556357,0.4879257316087916,0.4196164063931842,0.4085919384673863,0.3753541257958197,0.33730506192910115,0.40146708857300806
